day,price,sales_quantity,item_code
38,4.23,8198.0,55
39,4.24,8091.0,55
40,4.24,7942.0,55
41,4.25,7754.0,55
42,4.25,8008.0,55
43,4.26,8513.0,55
44,4.27,7743.0,55
45,4.27,7797.0,55
46,4.28,7795.0,55
47,4.28,6748.0,55
48,4.29,8883.0,55
49,4.3,7634.0,55
50,4.3,7663.0,55
51,4.31,7674.0,55
52,4.32,7961.0,55
53,4.32,7948.0,55
54,4.33,7887.0,55
55,4.33,7643.0,55
56,4.34,7617.0,55
57,4.35,7663.0,55
58,4.35,7556.0,55
59,4.36,7855.0,55
60,4.36,7928.0,55
61,4.37,7583.0,55
62,4.38,7686.0,55
63,4.38,5979.0,55
64,4.39,7344.0,55
65,4.39,7862.0,55
66,4.4,7864.0,55
67,4.41,7930.0,55
68,4.41,7807.0,55
69,4.42,7798.0,55
70,4.42,7572.0,55
71,4.43,7542.0,55
72,4.44,7273.0,55
73,4.44,7230.0,55
74,4.45,7503.0,55
75,4.45,7115.0,55
76,4.46,7977.0,55
77,4.47,7212.0,55
78,4.47,7171.0,55
79,4.48,7405.0,55
80,4.48,7195.0,55
81,4.49,7147.0,55
82,4.5,8593.0,55
83,4.5,7204.0,55
84,4.51,7626.0,55
85,4.52,7139.0,55
86,4.52,7558.0,55
87,4.53,7729.0,55
88,4.53,7335.0,55
89,4.54,6967.0,55
90,4.55,6864.0,55
91,4.55,6628.0,55
92,4.56,7056.0,55
93,4.56,7253.0,55
94,4.57,7303.0,55
95,4.58,7050.0,55
96,4.58,7314.0,55
97,4.59,7286.0,55
98,4.59,6764.0,55
99,4.6,6963.0,55
100,3.5,9962.0,55
101,3.52,9821.0,55
102,3.53,8143.0,55
103,3.55,9608.0,55
104,3.56,8924.0,55
105,3.58,9054.0,55
106,3.59,10233.0,55
107,3.61,9360.0,55
108,3.63,8783.0,55
109,3.64,9219.0,55
110,3.66,7915.0,55
111,3.67,8977.0,55
112,3.69,8915.0,55
113,3.71,7033.0,55
114,3.72,8764.0,55
115,3.74,8430.0,55
116,3.75,9030.0,55
117,3.77,8721.0,55
118,3.78,9167.0,55
119,3.8,8887.0,55
120,4.8,7645.0,55
121,4.81,6300.0,55
122,4.82,6417.0,55
123,4.84,6240.0,55
124,4.85,5114.0,55
125,4.86,6328.0,55
126,4.87,5668.0,55
127,4.88,6278.0,55
128,4.89,7680.0,55
129,4.91,6175.0,55
130,4.92,6150.0,55
131,4.93,5326.0,55
132,4.94,5378.0,55
133,4.95,6408.0,55
134,4.97,6263.0,55
135,4.98,6256.0,55
136,4.99,6049.0,55
137,5.0,6068.0,55
138,5.01,6138.0,55
139,5.03,8229.0,55
140,5.04,5933.0,55
141,5.05,5817.0,55
142,5.06,5610.0,55
143,5.07,5314.0,55
144,5.08,7734.0,55
145,5.1,5893.0,55
146,5.11,6732.0,55
147,5.12,5548.0,55
148,5.13,5651.0,55
149,5.14,6350.0,55
150,5.16,5645.0,55
151,5.17,5232.0,55
152,5.18,4516.0,55
153,5.19,6090.0,55
154,5.2,5456.0,55
155,5.22,4419.0,55
156,5.23,6368.0,55
157,5.24,5101.0,55
158,5.25,4912.0,55
159,5.26,5887.0,55
160,5.27,5295.0,55
161,5.29,5598.0,55
162,5.3,5165.0,55
163,5.31,6061.0,55
164,5.32,4793.0,55
165,5.33,4018.0,55
166,5.35,4273.0,55
167,5.36,4817.0,55
168,5.37,3771.0,55
169,5.38,4628.0,55
170,5.39,4567.0,55
171,5.41,4458.0,55
172,5.42,4582.0,55
173,5.43,4525.0,55
174,5.44,4854.0,55
175,5.45,4643.0,55
176,5.46,4522.0,55
177,5.48,4495.0,55
178,5.49,4765.0,55
179,5.5,4066.0,55
